id,ra_deg,dec_deg,mag,pm_ra_mas_yr,pm_dec_mas_yr,common_name
2581,8.197731,54.120035,6.910,75.05,-35.63,
2583,8.204541,28.280226,6.260,-4.20,6.08,
2595,8.232463,16.167169,6.900,48.48,27.17,
2599,8.249944,62.931788,4.170,3.99,-2.10,
2611,8.293015,54.895081,5.930,70.08,-39.36,
2628,8.330015,70.981848,6.410,35.38,-1.81,
2629,8.346772,-71.266215,6.110,73.49,-13.04,
2661,8.421088,-29.558207,5.550,-27.91,-29.31,
2663,8.432704,-35.000822,6.410,-60.33,-516.78,
2695,8.544822,10.299581,6.760,64.53,-156.44,
2701,8.580883,-42.431286,6.880,87.95,19.19,
2707,8.603693,66.750352,6.470,23.84,-0.28,
2708,8.604752,-45.425868,6.800,9.98,15.82,
2710,8.613389,-6.503696,6.900,-72.45,-86.61,
2711,8.615063,-52.373183,5.570,227.80,38.21,
2734,8.730866,13.371269,6.390,-74.19,-54.54,
2753,8.790130,36.832272,6.580,-20.36,-16.14,
2762,8.811004,-3.592758,5.200,407.68,-36.47,
2782,8.871083,54.203490,6.950,63.15,4.01,
2787,8.886458,-0.505459,5.940,143.36,-61.94,
2789,8.888816,-54.821748,6.040,22.48,-51.27,
2796,8.904886,67.925959,6.920,0.40,0.44,
2802,8.921395,-48.000660,5.510,47.14,-101.40,
2814,8.952893,49.021150,6.890,-1.15,-4.09,
2832,8.978672,13.207502,6.320,-133.16,-179.03,
2841,9.003330,-59.717195,6.910,78.00,-18.45,
2843,9.007174,-5.570457,6.720,225.69,-108.55,
2846,9.013315,-14.972891,6.450,-64.72,-59.19,
2852,9.028761,-22.842211,6.060,-71.44,-50.35,
2854,9.034531,54.168454,5.080,22.98,-1.52,
2865,9.083701,27.254792,6.510,17.36,-11.67,
2876,9.113925,60.326217,5.780,3.05,-1.10,
2889,9.156638,-65.124425,6.430,41.88,-8.54,
2888,9.156804,-49.132001,6.790,385.20,-132.44,
2900,9.193629,44.488510,5.140,-36.70,31.77,
2901,9.193958,54.957397,6.770,-42.17,-11.50,
2903,9.197132,15.231760,5.890,0.91,-14.18,
2907,9.206820,-76.309571,6.720,42.21,-3.87,
2912,9.220162,33.719352,4.340,15.23,-3.56,
2920,9.242779,53.896932,3.690,17.77,-9.15,
2926,9.280006,24.014248,6.180,-18.57,-46.04,
2937,9.325733,-54.393810,6.400,70.07,-3.79,
2941,9.332446,-24.767225,5.570,1422.09,-17.15,
2942,9.338442,35.399510,5.450,-9.21,-3.57,
2944,9.342176,-37.287980,6.990,547.87,-40.97,
2948,9.360050,40.332381,6.850,-15.48,-1.30,
2954,9.376827,3.135497,6.430,90.32,-60.23,
2965,9.419556,21.099776,6.840,72.34,-18.79,
2968,9.440350,72.894855,6.960,8.29,-0.54,
2994,9.519029,-0.503503,6.640,-41.51,-10.66,
3025,9.632638,-20.296598,6.730,21.26,8.00,
3030,9.639358,60.324785,6.770,-3.06,-1.38,
3031,9.639580,29.312369,4.340,-229.41,-254.08,
3042,9.669403,-73.137632,6.870,-19.33,5.50,
3045,9.673352,46.956829,6.720,-65.55,-12.43,
3056,9.703110,-25.107766,6.430,56.47,-21.72,
3058,9.705213,59.826161,6.720,19.68,-4.13,
3070,9.739618,26.323806,6.920,0.95,-20.60,
3083,9.791196,49.354595,5.450,7.93,-2.74,
3084,9.796834,-57.967788,6.810,67.71,-30.42,
3092,9.831656,30.861226,3.270,115.38,-83.05,
3093,9.842061,21.251374,5.880,-461.07,-370.88,
3114,9.908960,-85.700844,6.810,173.24,-12.36,
